"number","priority","state","assigned_to","short_description","sys_class_name","sys_created_on","sys_updated_on","description"
"INC0356864","4 - Low","In Progress","Prakash S","SAS Supplier modification","Incident","26.08.2026 20:07:24","26.08.2026 20:15:28","Dear all,

For the highlighted row, I need to modify ItmCat. SC and SAS Suppl. For ItmCat. SC, instead of “3 RD”, should be “OWN” and “1020” should change for “3050”.

Could you please change this?

Thanks in advance and kind regards

Nicolás Degirmenci

Project Manager

Buhler SA

Engineering Department

Buenos Aires, Argentina.

T +54 11 4733 2607 

C +54 9 11 5017 9233

F +54 11 4733 2602

Mailto:nicolas.degirmenci@buhlergroup.com [mailto:nicolas.degirmenci@buhlergroup.com]

www.buhlergroup.com [https://eur03.safelinks.protection.outlook.com/?url=http%3A%2F%2Fwww.buhlergroup.com%2F&data=05%7C02%7Cservicedesk%40buhlergroup.com%7Cd152b4e15e884c6af6f608df039cb1de%7Cec64c4331ee84dbd837a39f56c7cdcea%7C0%7C0%7C639233643679956181%7CUnknown%7CTWFpbGZsb3d8eyJFbXB0eU1hcGkiOnRydWUsIlYiOiIwLjAuMDAwMCIsIlAiOiJXaW4zMiIsIkFOIjoiTWFpbCIsIldUIjoyfQ%3D%3D%7C0%7C%7C%7C&sdata=VHCWGIbQ%2BqTlaGwdGGqfG8B%2BOJSvcLGeR%2FXTqQ199d0%3D&reserved=0]"
"INC0349292","4 - Low","In Progress","","OTH - Unblock the customer code ""14431840""","Incident","24.08.2026 09:16:02","27.08.2026 03:03:21","Dear Servicedesk,

Pls help to unblock the customer code ""14431840”

Best Regards,

Ava Tang"
"INC0353779","4 - Low","In Progress","","SAP Ibase - search for Machines SMC, - MYB","Incident","25.08.2026 14:32:12","26.08.2026 15:07:45","Dear Colleagues,

We are searching for 2 two machines which we cannot find on CPSP. I checked various functions on CPSP but could not find them. 

These are the information we received from the customer

  type SMC 1500
  214676 and 185068

Do you have a chance to search for them? Please inform on any data you might find. 

Thanks a lot for our kind support on this. 

Kind regards,

Nicole Macikowski
CS Support Assistenz

Bühler GmbH

Ernst-Amme-Str. 19
 38114 Braunschweig 

Deutschland

T +49 531 594-2566

F +49 531 594-2890

nicole.macikowski@buhlergroup.com [mailto:nicole.macikowski@buhlergroup.com]

www.buhlergroup.com [https://eur03.safelinks.protection.outlook.com/?url=http%3A%2F%2Fwww.buhlergroup.com%2F&data=05%7C02%7Cservicedesk%40buhlergroup.com%7C45ef8535c35b42a6297008df02a48325%7Cec64c4331ee84dbd837a39f56c7cdcea%7C0%7C0%7C639232577721179104%7CUnknown%7CTWFpbGZsb3d8eyJFbXB0eU1hcGkiOnRydWUsIlYiOiIwLjAuMDAwMCIsIlAiOiJXaW4zMiIsIkFOIjoiTWFpbCIsIldUIjoyfQ%3D%3D%7C0%7C%7C%7C&sdata=CKfN4%2BfQy8mo7CpoQF3wvOvY16lfktJR1XkefxPFnA8%3D&reserved=0]

Amtsgericht Braunschweig HRB 797

Geschäftsführer: Flavio Diaz

Aufsichtsratsvorsitzender: Stefan Scheiber"
"INC0350350","4 - Low","In Progress","","Request for mass Product ID Assignment","Incident","24.08.2026 13:04:04","26.08.2026 08:02:07","Dear Service Desk, 

Could you please make a mass assignment of Product ID: PLANT_AUT_MOD

For the following opportunities:

Opp. ID

 335279

 333979

 329673

 332090

 315007

 334414

 334555

 322085

 328677

 334790

 335983

 331246

 335957

 336015

 331535

 320116

 329657

 337345

 337447

 331540

 323448

 323937

 325456

 330961

 326890

 329575

 335323

 334492

 331604

 334734

 328155

 330362

 329630

 326783

 330465

 333336

 336845

 333332

 336122

 331937

 328724

 320344

 319929

 307156

 328221

 333349

 317976

 332362

 326195

 330132

 335487

 291692

 337355

 334640

 324739

 331890

 333560

 330201

 302279

 311541

 336379

 143987

 324581

 296754

 336873

 323517

 309824

 327671

 335468

 Best regards,

Muzammil 

Muzammil Mukhtar

Head of Automation and Digital Solutions

Middle East Africa & India

Buhler AG, 

Saudi Arabian Branch

129, King Abdul Aziz Road

P. O. Box 2990

Riyadh 11461 / Kingdom of Saudi Arabia

Mob.: +966 55 300 4332

Tel.: +966 11 477 93 76

 +966 11 476 90 88

Fax: +966 11 477 96 70

 +966 11 472 86 51

E-Mail: muzammil.mukhtar@buhlergroup.com [mailto:muzammil.mukhtar@buhlergroup.com]

Web: www.buhlergroup.com [https://eur03.safelinks.protection.outlook.com/?url=http%3A%2F%2Fwww.buhlergroup.com%2F&data=05%7C02%7Cservicedesk%40buhlergroup.com%7C829174e5e1104987111608df01cf488e%7Cec64c4331ee84dbd837a39f56c7cdcea%7C0%7C0%7C639231661940694478%7CUnknown%7CTWFpbGZsb3d8eyJFbXB0eU1hcGkiOnRydWUsIlYiOiIwLjAuMDAwMCIsIlAiOiJXaW4zMiIsIkFOIjoiTWFpbCIsIldUIjoyfQ%3D%3D%7C0%7C%7C%7C&sdata=eD5bmtj%2FrtfvmYfJ7EvekVJppr7Va1cYEJcnFHE5i1o%3D&reserved=0]"
"SCTASK0033726","4 - Low","Open","","I-base support request","Catalog Task","26.08.2026 14:58:23","26.08.2026 14:58:23",""
"SCTASK0033600","4 - Low","Open","","Please complete the task for item: General Request","Catalog Task","26.08.2026 09:38:33","26.08.2026 10:25:04","Further information can be found in the related RITM. If you would like to communicate with the user who requested the item, please use Additional comments in the RITM."
"SCTASK0033747","4 - Low","Open","","Please complete the task for item: General Request","Catalog Task","26.08.2026 15:30:09","26.08.2026 16:12:02","Further information can be found in the related RITM. If you would like to communicate with the user who requested the item, please use Additional comments in the RITM."
"INC0356625","4 - Low","New","","SAP Finance Support (BPA): FSV - Please transport to PA4","Incident","26.08.2026 15:02:37","26.08.2026 15:10:57","Dear All

Please forward this to SAP Finance Support (BPA) team:

***********

Dear All

Please transport to PA4"
"SCTASK0033664","4 - Low","Open","","Please complete the task for item: General Request","Catalog Task","26.08.2026 12:12:36","26.08.2026 12:26:23","Further information can be found in the related RITM. If you would like to communicate with the user who requested the item, please use Additional comments in the RITM."
"INC0356133","4 - Low","New","","Bitte ändern Sie die Lieferadresse vom Lieferant 16958088 Lachenmeier Monsun A/S","Incident","26.08.2026 12:26:32","26.08.2026 12:29:19","Bitte ändern Sie die Lieferadresse vom Lieferant 16958088 Lachenmeier Monsun A/S wie folgt:

Lachenmeier Monsun A/S 
Coriolisvej 1
DK-6400 Sønderborg"
"INC0354827","4 - Low","New","","Rs batch understanding ","Incident","26.08.2026 07:27:05","26.08.2026 09:28:40","Dear Team ,

 Please help to understand who is the RS batch team or a person . 

Regards,

Nistha Sharma"
"SCTASK0033065","4 - Low","Open","","Please complete the task for item: General Request","Catalog Task","24.08.2026 16:56:52","26.08.2026 11:44:24","Further information can be found in the related RITM. If you would like to communicate with the user who requested the item, please use Additional comments in the RITM."
"INC0353708","4 - Low","New","","SAP Machine shift required Cargill Aschersleben","Incident","25.08.2026 14:01:13","25.08.2026 14:12:13","Dear Colleagues,

Our customer Cargill, Aschersleben, SAP 11169590 asked us to shift a machine to his Ibase.

However, SAP shows an error note saying that the machine is already on customer’s account. 

Can you please check this and kindly switch machine 10109391 from customer 1900020 to customer 11169590?

Thanks a lot for your kind support on this. 

Kind regards,

Nicole Macikowski
CS Support Assistenz

Bühler GmbH

Ernst-Amme-Str. 19
 38114 Braunschweig 

Deutschland

T +49 531 594-2566

F +49 531 594-2890

nicole.macikowski@buhlergroup.com [mailto:nicole.macikowski@buhlergroup.com]

www.buhlergroup.com [https://eur03.safelinks.protection.outlook.com/?url=http%3A%2F%2Fwww.buhlergroup.com%2F&data=05%7C02%7Cservicedesk%40buhlergroup.com%7Ca308ae24e3ec48dcc54308df02a0376e%7Cec64c4331ee84dbd837a39f56c7cdcea%7C0%7C0%7C639232559277075443%7CUnknown%7CTWFpbGZsb3d8eyJFbXB0eU1hcGkiOnRydWUsIlYiOiIwLjAuMDAwMCIsIlAiOiJXaW4zMiIsIkFOIjoiTWFpbCIsIldUIjoyfQ%3D%3D%7C0%7C%7C%7C&sdata=Q4TSaxKNJ1xtKmsQo61fNasSSBgNgCDtmjfVAfc02qQ%3D&reserved=0]

Amtsgericht Braunschweig HRB 797

Geschäftsführer: Flavio Diaz

Aufsichtsratsvorsitzender: Stefan Scheiber"
